cell_index_zero_based,cell_type,status,group,source_lines,first_nonempty_line,rationale
0,markdown,KEEP_REWRITE,A01_input_preprocessing,2,# 🧪 Fingerprint Minutiae & Orientation Lab,"Load, normalize, and CLAHE are useful, but paths and plotting must be made portable."
1,code,KEEP_REWRITE,A01_input_preprocessing,2,from google.colab import drive,"Load, normalize, and CLAHE are useful, but paths and plotting must be made portable."
2,code,KEEP_REWRITE,A01_input_preprocessing,9,import cv2,"Load, normalize, and CLAHE are useful, but paths and plotting must be made portable."
3,markdown,KEEP_REWRITE,A01_input_preprocessing,1,## 1. Load Image,"Load, normalize, and CLAHE are useful, but paths and plotting must be made portable."
4,code,KEEP_REWRITE,A01_input_preprocessing,2,"img = cv2.imread('/content/drive/MyDrive/Colab Notebooks/1.jpg', 0)  # replace with your file","Load, normalize, and CLAHE are useful, but paths and plotting must be made portable."
5,markdown,KEEP_REWRITE,A01_input_preprocessing,1,## 2. Normalize,"Load, normalize, and CLAHE are useful, but paths and plotting must be made portable."
6,code,KEEP_REWRITE,A01_input_preprocessing,2,"img = cv2.normalize(img, None, 0, 255, cv2.NORM_MINMAX)","Load, normalize, and CLAHE are useful, but paths and plotting must be made portable."
7,code,KEEP_REWRITE,A01_input_preprocessing,4,"clahe = cv2.createCLAHE(clipLimit=2.0, tileGridSize=(8,8))","Load, normalize, and CLAHE are useful, but paths and plotting must be made portable."
8,markdown,KEEP_REWRITE,A02_orientation_roi,1,From there not,"Retain the structure-tensor orientation idea, axial smoothing, mask, and visualization; remove duplicate/contradictory variants and fix units/dtypes."
9,code,KEEP_REWRITE,A02_orientation_roi,21,"def estimate_orientation(img, block_size=16):","Retain the structure-tensor orientation idea, axial smoothing, mask, and visualization; remove duplicate/contradictory variants and fix units/dtypes."
10,code,KEEP_REWRITE,A02_orientation_roi,19,"def smooth_orientation(orientation, ksize=5):","Retain the structure-tensor orientation idea, axial smoothing, mask, and visualization; remove duplicate/contradictory variants and fix units/dtypes."
11,code,KEEP_REWRITE,A02_orientation_roi,26,import math,"Retain the structure-tensor orientation idea, axial smoothing, mask, and visualization; remove duplicate/contradictory variants and fix units/dtypes."
12,code,KEEP_REWRITE,A02_orientation_roi,37,"def draw_orientation(img, orientation, mask, block_size=16, line_len=6):","Retain the structure-tensor orientation idea, axial smoothing, mask, and visualization; remove duplicate/contradictory variants and fix units/dtypes."
13,code,KEEP_REWRITE,A02_orientation_roi,7,orientation = estimate_orientation(img),"Retain the structure-tensor orientation idea, axial smoothing, mask, and visualization; remove duplicate/contradictory variants and fix units/dtypes."
14,code,KEEP_REWRITE,A02_orientation_roi,5,"gx = cv2.Sobel(img, cv2.CV_64F, 1, 0, ksize=3)","Retain the structure-tensor orientation idea, axial smoothing, mask, and visualization; remove duplicate/contradictory variants and fix units/dtypes."
15,code,KEEP_REWRITE,A02_orientation_roi,4,"for i in range(0, img.shape[0]-16, 16):","Retain the structure-tensor orientation idea, axial smoothing, mask, and visualization; remove duplicate/contradictory variants and fix units/dtypes."
16,code,KEEP_REWRITE,A02_orientation_roi,4,"plt.imshow(orientation, cmap='hsv')","Retain the structure-tensor orientation idea, axial smoothing, mask, and visualization; remove duplicate/contradictory variants and fix units/dtypes."
17,code,KEEP_REWRITE,A02_orientation_roi,5,mask_small = np.zeros_like(mask),"Retain the structure-tensor orientation idea, axial smoothing, mask, and visualization; remove duplicate/contradictory variants and fix units/dtypes."
18,markdown,KEEP_REWRITE,A02_orientation_roi,1,here yes,"Retain the structure-tensor orientation idea, axial smoothing, mask, and visualization; remove duplicate/contradictory variants and fix units/dtypes."
19,code,KEEP_REWRITE,A02_orientation_roi,10,"mask = compute_mask(img, block_size=16)","Retain the structure-tensor orientation idea, axial smoothing, mask, and visualization; remove duplicate/contradictory variants and fix units/dtypes."
20,markdown,KEEP_REWRITE,A02_orientation_roi,1,Here no (old),"Retain the structure-tensor orientation idea, axial smoothing, mask, and visualization; remove duplicate/contradictory variants and fix units/dtypes."
21,code,SPLIT_REWRITE,A03_skeleton_minutiae,1,,"Useful skeleton, crossing-number, border filtering, and drawing code are mixed in one stateful cell; split into ordered functions."
22,code,SPLIT_REWRITE,A03_skeleton_minutiae,15,"def draw_minutiae_with_theta(img, minutiae, line_len=8):","Useful skeleton, crossing-number, border filtering, and drawing code are mixed in one stateful cell; split into ordered functions."
23,code,SPLIT_REWRITE,A03_skeleton_minutiae,28,"def assign_direction(minutiae, orientation, img, block_size=16):","Useful skeleton, crossing-number, border filtering, and drawing code are mixed in one stateful cell; split into ordered functions."
24,markdown,SPLIT_REWRITE,A03_skeleton_minutiae,1,Version to diferentiate crestas and vallee,"Useful skeleton, crossing-number, border filtering, and drawing code are mixed in one stateful cell; split into ordered functions."
25,code,SPLIT_REWRITE,A03_skeleton_minutiae,36,"def assign_direction2(minutiae, orientation, img, block_size=16):","Useful skeleton, crossing-number, border filtering, and drawing code are mixed in one stateful cell; split into ordered functions."
26,code,SPLIT_REWRITE,A03_skeleton_minutiae,233,#!pip uninstall -y opencv-python opencv-contrib-python opencv-python-headless,"Useful skeleton, crossing-number, border filtering, and drawing code are mixed in one stateful cell; split into ordered functions."
27,markdown,KEEP_REWRITE,A04_singular_points,1,Cores and delta,Retain Poincare-index core/delta candidate logic and visualization; refine block coordinates and prevent grayscale/BGR conversion errors.
28,code,KEEP_REWRITE,A04_singular_points,9,import numpy as np,Retain Poincare-index core/delta candidate logic and visualization; refine block coordinates and prevent grayscale/BGR conversion errors.
29,code,KEEP_REWRITE,A04_singular_points,25,def compute_poincare(orientation):,Retain Poincare-index core/delta candidate logic and visualization; refine block coordinates and prevent grayscale/BGR conversion errors.
30,markdown,KEEP_REWRITE,A04_singular_points,1,4) Detect cores and deltas,Retain Poincare-index core/delta candidate logic and visualization; refine block coordinates and prevent grayscale/BGR conversion errors.
31,code,KEEP_REWRITE,A04_singular_points,16,"def detect_singular_points(poincare, threshold=np.pi/2):",Retain Poincare-index core/delta candidate logic and visualization; refine block coordinates and prevent grayscale/BGR conversion errors.
32,markdown,KEEP_REWRITE,A04_singular_points,3,5) Integrate into your pipeline,Retain Poincare-index core/delta candidate logic and visualization; refine block coordinates and prevent grayscale/BGR conversion errors.
33,code,KEEP_REWRITE,A04_singular_points,2,poincare = compute_poincare(orientation_fixed),Retain Poincare-index core/delta candidate logic and visualization; refine block coordinates and prevent grayscale/BGR conversion errors.
34,markdown,KEEP_REWRITE,A04_singular_points,3,6) Convert to image coordinates,Retain Poincare-index core/delta candidate logic and visualization; refine block coordinates and prevent grayscale/BGR conversion errors.
35,code,KEEP_REWRITE,A04_singular_points,7,block_size = 16,Retain Poincare-index core/delta candidate logic and visualization; refine block coordinates and prevent grayscale/BGR conversion errors.
36,markdown,KEEP_REWRITE,A04_singular_points,1,7) Draw them,Retain Poincare-index core/delta candidate logic and visualization; refine block coordinates and prevent grayscale/BGR conversion errors.
37,code,KEEP_REWRITE,A04_singular_points,12,"def draw_singular_points(img, cores, deltas):",Retain Poincare-index core/delta candidate logic and visualization; refine block coordinates and prevent grayscale/BGR conversion errors.
38,markdown,KEEP_REWRITE,A04_singular_points,1,8) Final call,Retain Poincare-index core/delta candidate logic and visualization; refine block coordinates and prevent grayscale/BGR conversion errors.
39,code,KEEP_REWRITE,A04_singular_points,3,"vis_sd = draw_singular_points(img, cores_px, deltas_px)",Retain Poincare-index core/delta candidate logic and visualization; refine block coordinates and prevent grayscale/BGR conversion errors.
40,code,KEEP_REWRITE,A04_singular_points,18,"def draw_cores(vis, cores_px, orientation, block_size=16, length=25):",Retain Poincare-index core/delta candidate logic and visualization; refine block coordinates and prevent grayscale/BGR conversion errors.
41,code,KEEP_REWRITE,A04_singular_points,33,"def get_local_orientations(orientation, i, j):",Retain Poincare-index core/delta candidate logic and visualization; refine block coordinates and prevent grayscale/BGR conversion errors.
42,code,KEEP_REWRITE,A04_singular_points,12,"vis = cv2.cvtColor(img, cv2.COLOR_GRAY2BGR)",Retain Poincare-index core/delta candidate logic and visualization; refine block coordinates and prevent grayscale/BGR conversion errors.
43,code,SET_ASIDE,Q01_generated_repetition,0,,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
44,markdown,SET_ASIDE,Q01_generated_repetition,2,# Task,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
45,markdown,SET_ASIDE,Q01_generated_repetition,4,## Define compute_mask function,"Mostly duplicated task prose, repeated summaries, and copied code produced during interactive debugging; not part of the executable pipeline."
